who_region,iso3,country_name,city,year,version,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov,type_of_stations,number_stations,reference,web_link,population,population_source,latitude,longitude,who_ms
EUR,KAZ,Kazakhstan,Astana/KAZ,2020,V8.0 (2026) (n=1),50,50,70,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2021,V8.0 (2026) (n=1),47,36,33,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2022,V8.0 (2026) (n=1),60,50,40,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2023,V8.0 (2026) (n=1),40,30,50,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Astana/KAZ,2024,V8.0 (2026) (n=1),80,60,40,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),51.1801,71.446,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2013,V8.0 (2026) (n=1),NA,NA,30,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2014,V8.0 (2026) (n=1),23,NA,42,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2015,V8.0 (2026) (n=1),53,60,33,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2016,V8.0 (2026) (n=1),100,100,40,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2017,V8.0 (2026) (n=1),100,100,50,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2018,V8.0 (2026) (n=1),110,110,50,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2019,V8.0 (2026) (n=1),59,56,40,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2020,V8.0 (2026) (n=1),40,40,30,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2021,V8.0 (2026) (n=1),160,152,36,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2022,V8.0 (2026) (n=1),180,180,50,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2023,V8.0 (2026) (n=1),270,270,40,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Karaganda/KAZ,2024,V8.0 (2026) (n=1),190,180,30,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),49.8011,73.0954,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2013,V8.0 (2026) (n=1),NA,NA,25,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2014,V8.0 (2026) (n=1),29,NA,29,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
